"coord","dated","datef","location","musee","musee_label_lang"
"Point(37.60602901 55.74702868)",2018-03-28,2018-07-22,"http://www.wikidata.org/entity/statement/Q4660880-7fb8ac94-45a8-b6c7-247e-9a19f2bed3e9","Pushkin Museum of Fine Arts","en"
"Point(37.60602901 55.74702868)",2018-03-28,2018-07-22,"http://www.wikidata.org/entity/statement/Q4660880-7fb8ac94-45a8-b6c7-247e-9a19f2bed3e9","Pushkin Museum of Fine Arts","en-us"
"Point(2.335833333 48.861111111)",2017-02-20,2017-05-22,"http://www.wikidata.org/entity/statement/Q4660880-d0451019-4c3d-1450-995d-6477dda08599","Louvre Museum","en"
"Point(2.335833333 48.861111111)",2017-02-20,2017-05-22,"http://www.wikidata.org/entity/statement/Q4660880-d0451019-4c3d-1450-995d-6477dda08599","Musée du Louvre","en-ca"
"Point(2.335833333 48.861111111)",2017-02-20,2017-05-22,"http://www.wikidata.org/entity/statement/Q4660880-d0451019-4c3d-1450-995d-6477dda08599","Musée du Louvre","en-gb"
"Point(30.31456 59.939832)",2018-09-05,2019-01-13,"http://www.wikidata.org/entity/statement/Q4660880-d069e28e-4078-835d-17b9-59f5f0921763","Hermitage Museum","en"
"Point(30.313611111 59.940555555)",2018-09-05,2019-01-13,"http://www.wikidata.org/entity/statement/Q4660880-d069e28e-4078-835d-17b9-59f5f0921763","Hermitage Museum","en"
"Point(-73.963333333 40.779444444)",2008-12-29,2009-11-30,"http://www.wikidata.org/entity/statement/Q4660880-bf1c8934-44b6-3c89-5d9e-94c4936922a0","Metropolitan Museum of Art","en"
"Point(-73.963333333 40.779444444)",2008-12-29,2009-11-30,"http://www.wikidata.org/entity/statement/Q4660880-bf1c8934-44b6-3c89-5d9e-94c4936922a0","Metropolitan Museum of Art","en-gb"
"Point(-73.963333333 40.779444444)",2001-03-08,2001-05-27,"http://www.wikidata.org/entity/statement/Q4660880-31fb1618-4d4b-f00c-af79-9a628affeb7b","Metropolitan Museum of Art","en"
"Point(-73.963333333 40.779444444)",2001-03-08,2001-05-27,"http://www.wikidata.org/entity/statement/Q4660880-31fb1618-4d4b-f00c-af79-9a628affeb7b","Metropolitan Museum of Art","en-gb"
"Point(-78.70288889 35.81019444)",2014-10-26,2015-01-04,"http://www.wikidata.org/entity/statement/Q4660880-1a85dff1-439b-0ca2-0588-143545e6f339","North Carolina Museum of Art","en"
"Point(-78.70288889 35.81019444)",2014-10-26,2015-01-04,"http://www.wikidata.org/entity/statement/Q4660880-1a85dff1-439b-0ca2-0588-143545e6f339","North Carolina Museum of Art","en-gb"
"Point(-76.2924 36.857)",2010-06-01,2010-12-01,"http://www.wikidata.org/entity/statement/Q4660880-33472cae-45da-401f-f058-a1d1b645495f","Chrysler Museum of Art","en"
"Point(121.464313 31.183945)",2017-09-23,2018-02-25,"http://www.wikidata.org/entity/statement/Q4660880-16f976bd-41f3-ec27-124c-1debe34f6b55","Long Museum","en"
"Point(12.486775 41.89873)",2012-10-01,2013-01-01,"http://www.wikidata.org/entity/statement/Q4660880-a4344418-41a0-30bc-f7c4-3d4dd6de544e","Scuderie del Quirinale","en"
"Point(12.48603 41.8987)",2012-10-01,2013-01-01,"http://www.wikidata.org/entity/statement/Q4660880-a4344418-41a0-30bc-f7c4-3d4dd6de544e","Scuderie del Quirinale","en"
"Point(-1.26056 51.75556)",2013-01-01,2013-06-01,"http://www.wikidata.org/entity/statement/Q4660880-fcf10f79-4725-9713-4ee9-a821cd63b459","Ashmolean Museum","en"
"Point(-1.26056 51.75556)",2013-01-01,2013-06-01,"http://www.wikidata.org/entity/statement/Q4660880-fcf10f79-4725-9713-4ee9-a821cd63b459","Ashmolean Museum","en-gb"
"Point(-1.26056 51.75556)",2012-01-01,2012-09-01,"http://www.wikidata.org/entity/statement/Q4660880-06245093-4b9c-4634-8bb7-13aa4d9ea0d8","Ashmolean Museum","en"
"Point(-1.26056 51.75556)",2012-01-01,2012-09-01,"http://www.wikidata.org/entity/statement/Q4660880-06245093-4b9c-4634-8bb7-13aa4d9ea0d8","Ashmolean Museum","en-gb"
"Point(-96.80163 32.78819)",2016-01-17,2016-08-21,"http://www.wikidata.org/entity/statement/Q4660880-c2ccab87-4ce4-6763-535b-fcc8892d4725","Dallas Museum of Art","en"
"Point(-96.800893 32.78756)",2016-01-17,2016-08-21,"http://www.wikidata.org/entity/statement/Q4660880-c2ccab87-4ce4-6763-535b-fcc8892d4725","Dallas Museum of Art","en"
"Point(-96.800830555 32.787219444)",2016-01-17,2016-08-21,"http://www.wikidata.org/entity/statement/Q4660880-c2ccab87-4ce4-6763-535b-fcc8892d4725","Dallas Museum of Art","en"
"Point(139.773 35.7172)",2008-08-02,2008-12-14,"http://www.wikidata.org/entity/statement/Q4660880-e2685a9c-4670-bda4-a985-ba505ec14df0","Tokyo Metropolitan Art Museum","en"
"Point(-0.128333333 51.508888888)",2013-06-25,2013-09-08,"http://www.wikidata.org/entity/statement/Q4660880-9f679446-46d2-caeb-56c8-c1f1500c8eac","National Gallery","en"
"Point(-0.128333333 51.508888888)",2013-06-25,2013-09-08,"http://www.wikidata.org/entity/statement/Q4660880-9f679446-46d2-caeb-56c8-c1f1500c8eac","National Gallery","en-gb"
"Point(-75.181388888 39.965833333)",2004-08-11,2005-03-01,"http://www.wikidata.org/entity/statement/Q4660880-7d533435-476a-7199-5fbe-9ca48383d012","Philadelphia Museum of Art","en"
"Point(-75.181388888 39.965833333)",2013-10-26,2014-09-21,"http://www.wikidata.org/entity/statement/Q4660880-2132972f-48a0-468c-523c-be92734f1a11","Philadelphia Museum of Art","en"
"Point(-86.810069 33.52222)",2015-02-04,2015-04-26,"http://www.wikidata.org/entity/statement/Q4660880-1c33279f-476d-c986-8d91-53f228052cf8","Birmingham Museum of Art","en"
"Point(-86.8102 33.5219)",2015-02-04,2015-04-26,"http://www.wikidata.org/entity/statement/Q4660880-1c33279f-476d-c986-8d91-53f228052cf8","Birmingham Museum of Art","en"
"Point(116.394444 39.903333)",2017-06-17,2017-09-03,"http://www.wikidata.org/entity/statement/Q4660880-ddc7117f-48d3-98d2-25a1-a760302ccdf3","National Museum of China","en"
"Point(0.119444 52.200278)",2011-09-17,2012-01-15,"http://www.wikidata.org/entity/statement/Q4660880-121fc49a-4fe8-781b-9952-5de56e3f3a3c","Fitzwilliam Museum","en"
