"oeuvreLabel","museeLabel","coord"
"The Procuress","Gemäldegalerie Alte Meister","Point(13.734707 51.053388)"
"Girl Reading a Letter at an Open Window","Gemäldegalerie Alte Meister","Point(13.734707 51.053388)"
"The Astronomer","Louvre Museum","Point(2.335833333 48.861111111)"
"The Music Lesson","Buckingham Palace","Point(-0.142 51.501)"
"Woman with a Water Jug","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"The Allegory of Faith","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"A Girl Asleep","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"Woman with a Lute","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"Portrait of a Young Woman","Metropolitan Museum of Art","Point(-73.963333333 40.779444444)"
"The Geographer","Städel Museum","Point(8.673028 50.103243)"
"The Geographer","Städel Museum","Point(8.6737 50.1032)"
"Woman with a Pearl Necklace","Gemäldegalerie","Point(13.36472 52.50861)"
"The Wine Glass","Gemäldegalerie","Point(13.36472 52.50861)"
"A Young Woman seated at a Virginal","National Gallery","Point(-0.128333333 51.508888888)"
"A Young Woman standing at a Virginal","National Gallery","Point(-0.128333333 51.508888888)"
"Woman in Blue Reading a Letter","Rijksmuseum","Point(4.885277777 52.36)"
"The Little Street","Rijksmuseum","Point(4.885277777 52.36)"
"The Love Letter","Rijksmuseum","Point(4.885277777 52.36)"
"Girl with a Red Hat","National Gallery of Art","Point(-77.02 38.891388888)"
"A Lady Writing a Letter","National Gallery of Art","Point(-77.02 38.891388888)"
"Woman Holding a Balance","National Gallery of Art","Point(-77.02 38.891388888)"
"Diana and her Nymphs","Mauritshuis","Point(4.314305555 52.080388888)"
"Girl with a Pearl Earring","Mauritshuis","Point(4.314305555 52.080388888)"
"View of Delft","Mauritshuis","Point(4.314305555 52.080388888)"
"The Astronomer","Führermuseum","Point(14.292 48.2901)"
"Lady with a Guitar","Philadelphia Museum of Art","Point(-75.181388888 39.965833333)"
"The Girl with the Wine Glass","Herzog Anton Ulrich Museum","Point(10.533 52.2635)"
"The Girl with the Wine Glass","Herzog Anton Ulrich Museum","Point(10.533116 52.26352)"
"Officer and Laughing Girl","The Frick Collection","Point(-73.963836944 40.773411111)"
"Girl Interrupted at her Music","The Frick Collection","Point(-73.963836944 40.773411111)"
"Mistress and Maid","The Frick Collection","Point(-73.963836944 40.773411111)"
"The Guitar Player","Kenwood House","Point(-0.167654 51.5713)"
"Christ in the House of Martha and Mary","Scottish National Gallery","Point(-3.195686 55.950902)"
"Christ in the House of Martha and Mary","Scottish National Gallery","Point(-3.195660636 55.950899738)"
"The Astronomer","Munich Central Collecting Point",NA
"Saint Praxedis","National Museum of Western Art","Point(139.775677 35.71546)"
"Saint Praxedis","National Museum of Western Art","Point(139.7758498 35.7153567)"
"Lady Writing a Letter with her Maid","National Gallery of Ireland","Point(-6.25255 53.34091)"
"The Astronomer","Louvre Abu Dhabi","Point(54.40001 24.533)"
"A Young Woman Seated at the Virginals","Leiden Collection",NA
"The Lacemaker","Room 837",NA
"The Milkmaid","Gallery of Honour","Point(4.885286111 52.360025)"
"The Art of Painting","Q110991859",NA
"The Astronomer","Jeu de Paume Nazi sorting house",NA
"The Concert","http://www.wikidata.org/.well-known/genid/03899e820fcaece3ffa5b36ba6830875",NA
