"coord","musee","musee_label_lang","oeuvre","oeuvre_label_lang"
NA,NA,NA,"Diana and her Nymphs","en"
"Point(139.775677 35.71546)","National Museum of Western Art","en-gb","Saint Praxedis","en"
"Point(139.775677 35.71546)","National Museum of Western Art","en","Saint Praxedis","en"
"Point(139.7758498 35.7153567)","National Museum of Western Art","en-gb","Saint Praxedis","en"
"Point(139.7758498 35.7153567)","National Museum of Western Art","en","Saint Praxedis","en"
"Point(8.673028 50.103243)","Städel","en-gb","The Geographer","en"
"Point(8.673028 50.103243)","Städel","en-ca","The Geographer","en"
"Point(8.673028 50.103243)","Städel Museum","en","The Geographer","en"
"Point(8.6737 50.1032)","Städel","en-gb","The Geographer","en"
"Point(8.6737 50.1032)","Städel","en-ca","The Geographer","en"
"Point(8.6737 50.1032)","Städel Museum","en","The Geographer","en"
"Point(13.734707 51.053388)","Gemäldegalerie Alte Meister","en-gb","The Procuress","en"
"Point(13.734707 51.053388)","Gemäldegalerie Alte Meister","en","The Procuress","en"
"Point(-73.967222222 40.771111111)","The Frick Collection","en","Officer and Laughing Girl","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en-gb","View of Delft","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en-ca","View of Delft","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en","View of Delft","en"
"Point(54.40001 24.533)","Louvre Abu Dhabi","en-gb","The Astronomer","en"
"Point(54.40001 24.533)","Louvre Abu Dhabi","en-ca","The Astronomer","en"
"Point(54.40001 24.533)","Louvre Abu Dhabi","en","The Astronomer","en"
NA,"Munich Central Collecting Point","en","The Astronomer","en"
"Point(2.335833333 48.861111111)","Musée du Louvre","en-gb","The Astronomer","en"
"Point(2.335833333 48.861111111)","Musée du Louvre","en-ca","The Astronomer","en"
"Point(2.335833333 48.861111111)","Louvre Museum","en","The Astronomer","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en-gb","A Girl Asleep","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en","A Girl Asleep","en"
"Point(13.734707 51.053388)","Gemäldegalerie Alte Meister","en-gb","Girl Reading a Letter at an Open Window","en"
"Point(13.734707 51.053388)","Gemäldegalerie Alte Meister","en","Girl Reading a Letter at an Open Window","en"
"Point(4.885277777 52.36)","Rijksmuseum","en","The Love Letter","en"
"Point(13.36472 52.50861)","Gemäldegalerie, Berlin","en-ca","The Wine Glass","en"
"Point(13.36472 52.50861)","Gemäldegalerie","en-gb","The Wine Glass","en"
"Point(13.36472 52.50861)","Gemäldegalerie","en","The Wine Glass","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en-gb","Woman with a Lute","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en","Woman with a Lute","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en-gb","Girl with a Pearl Earring","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en-ca","Girl with a Pearl Earring","en"
"Point(4.314305555 52.080388888)","Mauritshuis","en","Girl with a Pearl Earring","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en-gb","Woman with a Water Jug","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en","Woman with a Water Jug","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en-gb","The Allegory of Faith","en"
"Point(-73.963333333 40.779444444)","Metropolitan Museum of Art","en","The Allegory of Faith","en"
NA,NA,NA,"The Art of Painting","en"
"Point(13.36472 52.50861)","Gemäldegalerie, Berlin","en-ca","Woman with a Pearl Necklace","en"
"Point(13.36472 52.50861)","Gemäldegalerie","en-gb","Woman with a Pearl Necklace","en"
"Point(13.36472 52.50861)","Gemäldegalerie","en","Woman with a Pearl Necklace","en"
"Point(4.885277777 52.36)","Rijksmuseum","en","Woman in Blue Reading a Letter","en"
"Point(4.885277777 52.36)","Rijksmuseum","en","Woman in Blue Reading a Letter","en-gb"
"Point(4.885286111 52.360025)","Gallery of Honour","en","The Milkmaid","en"
"Point(4.885277777 52.36)","Rijksmuseum","en","The Little Street","en"
"Point(-77.02 38.891388888)","National Gallery of Art","en-gb","Girl with a Red Hat","en"
"Point(-77.02 38.891388888)","National Gallery of Art","en","Girl with a Red Hat","en"
"Point(-6.25255 53.34091)","National Gallery of Ireland","en-gb","Lady Writing a Letter with her Maid","en"
"Point(-6.25255 53.34091)","National Gallery of Ireland","en","Lady Writing a Letter with her Maid","en"
NA,NA,NA,"The Concert","en"
"Point(-77.02 38.891388888)","National Gallery of Art","en-gb","A Lady Writing a Letter","en"
"Point(-77.02 38.891388888)","National Gallery of Art","en","A Lady Writing a Letter","en"
"Point(-3.195686 55.950902)","Scottish National Gallery","en-gb","Christ in the House of Martha and Mary","en"
"Point(-3.195686 55.950902)","Scottish National Gallery","en","Christ in the House of Martha and Mary","en"
"Point(-3.195660636 55.950899738)","Scottish National Gallery","en-gb","Christ in the House of Martha and Mary","en"
"Point(-3.195660636 55.950899738)","Scottish National Gallery","en","Christ in the House of Martha and Mary","en"
